INFO:__main__:dataset:
- multiple-graphs
- TUDataset
- BZR
derive_num: 10
is_random: false
logfname: bzr_basic_no-combinations.log
nas_args:
  dynamic_behaviour: undefined
  dynamic_nas_steps: 150
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 4
  type: basic
  with_combinations: false
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 50
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 7000], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 6000], 0.7037037037037037)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 4500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 7000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 7000], 0.7901234567901234)
INFO:nas.trainer:train | 2 era_time 10330.064438343048
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 4500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 7500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 8000], 0.691358024691358)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_mean_pool', 4000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 6500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 5000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 8000], 0.691358024691358)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 4500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 8000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 4000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 7500], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 6000], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 7000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_mean_pool', 6000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 7000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 3500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 6500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_max_pool', 4000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 3500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 8000], 0.8024691358024691)
INFO:nas.trainer:train | 3 era_time 10114.60385298729
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 4500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 3500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 6500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_mean_pool', 5000], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 6000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 7500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_mean_pool', 6000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 4000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 7500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 6500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_add_pool', 3000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 7000], 0.7037037037037037)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 5000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 7000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 8000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 6000], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_mean_pool', 5000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_mean_pool', 4000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 6000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 4000], 0.7283950617283951)
INFO:nas.trainer:train | 4 era_time 9541.671025753021
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 7000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_max_pool', 5500], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 7000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 7500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 7000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_mean_pool', 7500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 7500], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 7000], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_add_pool', 3500], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 5000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_max_pool', 7000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 6000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 6000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_max_pool', 6000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_mean_pool', 4000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 6500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 7000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 8000], 0.654320987654321)
INFO:nas.trainer:train | 5 era_time 10644.974738836288
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_mean_pool', 6000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 3500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_mean_pool', 4000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 5500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_mean_pool', 3500], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 3500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_add_pool', 3500], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 3000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 5000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 4000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 7000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 3000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 3000], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 3500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 4500], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 5000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 7000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 3500], 0.8518518518518519)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_max_pool', 7000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 5000], 0.7777777777777778)
INFO:nas.trainer:train | 6 era_time 7471.959559440613
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 5500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 5000], 0.691358024691358)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4000], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 5000], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 4000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 5500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_mean_pool', 7500], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_mean_pool', 6500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_max_pool', 5000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 7000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4500], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_max_pool', 5000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 5000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 7000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 6500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 6500], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 4000], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 4500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 6500], 0.7654320987654321)
INFO:nas.trainer:train | 7 era_time 9358.768549919128
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 4500], 0.8024691358024691)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 4000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 3000], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 4500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 7500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_max_pool', 4000], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 7500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 6000], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 6000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 4500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 3500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 4000], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 4000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 4000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_max_pool', 3500], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 4500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_mean_pool', 4500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 4500], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 7000], 0.8271604938271605)
INFO:nas.trainer:train | 8 era_time 7839.951769113541
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 4500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 4500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 5500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 4500], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_mean_pool', 7500], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_mean_pool', 5500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 7500], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 5500], 0.8395061728395061)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 6500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 4500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_mean_pool', 4500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 4000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5500], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 7500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 6000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 3500], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 7500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 5500], 0.8024691358024691)
INFO:nas.trainer:train | 9 era_time 9015.55701303482
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 6000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 6000], 0.7160493827160493)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4500], 0.691358024691358)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_add_pool', 4000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 5500], 0.7037037037037037)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 3500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_add_pool', 7500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_add_pool', 5500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_max_pool', 4000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 4000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 'global_add_pool', 5500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 7000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 5500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4000], 0.7283950617283951)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 6500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_max_pool', 7000], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_add_pool', 6500], 0.7654320987654321)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 'global_add_pool', 4500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 'global_mean_pool', 3000], 0.7654320987654321)
INFO:nas.trainer:train | 10 era_time 8715.387016057968
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 5500], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_mean_pool', 5500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 4000], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_mean_pool', 4000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 'global_mean_pool', 3000], 0.7777777777777778)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 5500], 0.8271604938271605)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 'global_max_pool', 4000], 0.7530864197530864)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_max_pool', 8000], 0.7901234567901234)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 2, 'global_add_pool', 4500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 'global_add_pool', 7500], 0.7407407407407407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_add_pool', 4000], 0.8148148148148148)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 'global_max_pool', 4500], 0.7160493827160493)
